id,term,ipa,category,type,definition_en,meaning_vi,source_sentence,my_sentence,priority,collocation_pattern,ielts_topics,skill_use,difficulty,card_types,origin,review_status,anki_export,tags
health-011,death,/deθ/,"Outbreak, Disease & Public Health",word,the end of the life of a person or animal,cái chết,The death of the patient prompted an urgent review of hospital procedures.,,P1,death,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-012,dengue-related death,/ˈdeŋ.ɡeɪ rɪˈleɪ.tɪd deθ/,"Outbreak, Disease & Public Health",noun_phrase,a death that occurs as a direct result of dengue fever or its complications,ca tử vong do sốt xuất huyết,Most dengue-related deaths involve patients who arrive at hospital too late for treatment.,,P1,dengue-related death,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-013,infection,/ɪnˈfek.ʃən/,"Outbreak, Disease & Public Health",word,the act or process of causing or getting a disease,sự lây nhiễm,The infection spread quickly through the densely populated neighborhood.,,P1,infection,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-014,test positive for,/test ˈpɒz.ə.tɪv fər/,"Outbreak, Disease & Public Health",prepositional_pattern,"to show, through a medical test, that a person has a particular disease or substance in their body",có kết quả xét nghiệm dương tính với,Two members of the family tested positive for the virus after returning from their village.,,P1,test positive for,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-015,preventive measures,/prɪˈven.tɪv ˈmeʒ.əz/,"Outbreak, Disease & Public Health",noun_phrase,actions taken in advance to stop something bad from happening,các biện pháp phòng ngừa,Spraying drains and clearing standing water are basic preventive measures against mosquitoes.,,P1,preventive measures,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-016,lack the proper preventive measures,/læk ðə ˈprɒp.ə prɪˈven.tɪv ˈmeʒ.əz/,"Outbreak, Disease & Public Health",verb_phrase,to not have the adequate strategies or resources needed to prevent a problem from occurring,thiếu các biện pháp phòng ngừa thích đáng,Rural clinics often lack the proper preventive measures to control outbreaks at an early stage.,,P2,lack the proper preventive measures,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-017,contain,/kənˈteɪn/,"Outbreak, Disease & Public Health",verb_phrase,to control something so that it stays within a limited area or does not get worse,"kiểm soát, ngăn chặn",Officials are working around the clock to contain the outbreak before it spreads further.,,P2,contain,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-018,support care,/səˈpɔːt keər/,"Outbreak, Disease & Public Health",verb_phrase,medical treatment that helps a patient's body cope with illness rather than curing the disease directly,chăm sóc hỗ trợ,Doctors provided support care while waiting for the patient's immune system to fight off the virus.,,P2,support care,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
hosp-001,hospital system,/ˈhɒs.pɪ.təl ˌsɪs.təm/,Healthcare System & Hospitals,noun_phrase,the network of hospitals and medical services available in a region or country,hệ thống bệnh viện,The hospital system struggled to cope with the sudden surge of new admissions.,,P2,hospital system,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-002,overwhelmed,/ˌəʊ.vəˈwelmd/,Healthcare System & Hospitals,word,having more work or problems than one can deal with,quá tải,Nurses said the emergency ward had been overwhelmed for weeks.,,P2,overwhelmed,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-003,overwhelmed hospitals,/ˌəʊ.vəˈwelmd ˈhɒs.pɪ.təlz/,Healthcare System & Hospitals,noun_phrase,"hospitals that cannot cope with the demand placed on them, often because of too many patients or too few resources",các bệnh viện bị quá tải,Reporters filmed scenes of overwhelmed hospitals turning away non-emergency patients.,,P2,overwhelmed hospitals,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-004,strain,/streɪn/,Healthcare System & Hospitals,verb_phrase,"to make great demands on the strength, resources or abilities of something","gây áp lực, làm căng thẳng",The unexpected influx of patients began to strain the small clinic's limited budget.,,P2,strain,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-005,strain scarce resources,/streɪn skeəs rɪˈzɔː.sɪz/,Healthcare System & Hospitals,verb_phrase,to put further pressure on supplies or services that are already limited,gây áp lực lên các nguồn lực vốn đã khan hiếm,The arrival of thousands of new refugees has strained scarce resources in border towns.,,P2,strain scarce resources,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-006,scarce resources,/skeəs rɪˈzɔː.sɪz/,Healthcare System & Hospitals,noun_phrase,"supplies, materials or services that are not enough to meet demand",nguồn lực khan hiếm,Aid workers must decide carefully how to distribute scarce resources among the hospitals.,,P2,scarce resources,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-007,shortage,/ˈʃɔː.tɪdʒ/,Healthcare System & Hospitals,word,a situation in which there is not enough of something that people need,sự thiếu hụt,A shortage of trained nurses has slowed the response to the crisis.,,P2,shortage,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-008,face shortages of,/feɪs ˈʃɔː.tɪ.dʒɪz ɒv/,Healthcare System & Hospitals,prepositional_pattern,"to experience a lack of essential goods, supplies or services",đối mặt với tình trạng thiếu hụt,Several rural districts are facing shortages of basic medical equipment.,,P2,face shortages of,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-009,intravenous fluids,/ˌɪn.trəˈviː.nəs ˈfluː.ɪdz/,Healthcare System & Hospitals,noun_phrase,liquids given to a patient directly through a vein using a needle and tube,dịch truyền tĩnh mạch,The doctor ordered intravenous fluids to prevent further dehydration.,,P2,intravenous fluids,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-010,IV treatment,/ˌaɪˈviː ˈtriːt.mənt/,Healthcare System & Hospitals,noun_phrase,medical treatment delivered through a tube inserted into a vein,điều trị truyền tĩnh mạch,Severe cases usually require IV treatment for at least 48 hours.,,P2,IV treatment,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-011,rehydrate,/ˌriːˈhaɪ.dreɪt/,Healthcare System & Hospitals,verb_phrase,to replace the water that a person or thing has lost,bù nước,Nurses worked through the night to rehydrate patients suffering from high fever.,,P2,rehydrate,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-012,rehydrate patients with dengue,/ˌriːˈhaɪ.dreɪt ˈpeɪ.ʃənts wɪð ˈdeŋ.ɡeɪ/,Healthcare System & Hospitals,prepositional_pattern,"to restore body-fluid levels in people suffering from dengue fever, usually by means of a drip",bù nước cho bệnh nhân sốt xuất huyết,Drip stations were set up in corridors to rehydrate patients with dengue who could not be admitted to a ward.,,P2,rehydrate patients with dengue,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-013,undergo treatment,/ˌʌn.dəˈɡəʊ ˈtriːt.mənt/,Healthcare System & Hospitals,verb_phrase,"to receive medical care, especially over a period of time",đang được điều trị,More than ten thousand patients are currently undergoing treatment in public hospitals.,,P2,undergo treatment,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-014,undergo treatment for dengue in hospitals,/ˌʌn.dəˈɡəʊ ˈtriːt.mənt fə ˈdeŋ.ɡeɪ ɪn ˈhɒs.pɪ.təlz/,Healthcare System & Hospitals,prepositional_pattern,to receive in-patient medical care for dengue fever inside hospital facilities,đang được điều trị sốt xuất huyết trong các bệnh viện,Thousands of children are undergoing treatment for dengue in hospitals across the country.,,P2,undergo treatment for dengue in hospitals,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-015,public health expert,/ˈpʌb.lɪk helθ ˈek.spɜːt/,Healthcare System & Hospitals,noun_phrase,a specialist trained in protecting and improving the health of populations,chuyên gia y tế công cộng,A panel of public health experts will advise the government on the next phase of the response.,,P2,public health expert,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-016,director general,/dəˈrek.tə ˈdʒen.ər.əl/,Healthcare System & Hospitals,noun_phrase,the most senior officer in charge of a large organization,tổng giám đốc,The director general announced new funding for vaccine research at the press conference.,,P2,director general,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
hosp-017,news briefing,/njuːz ˈbriː.fɪŋ/,Healthcare System & Hospitals,noun_phrase,a short meeting at which officials give information to journalists,buổi họp báo,Reporters gathered for the weekly news briefing on the public health emergency.,,P2,news briefing,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;hosp
clim-001,climate change,/ˈklaɪ.mət tʃeɪndʒ/,"Climate, Environment & Geography",noun_phrase,"changes in the world's weather, in particular the fact that it is believed to be getting warmer",biến đổi khí hậu,Climate change is shifting the seasons in ways that affect agriculture worldwide.,,P2,climate change,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-002,the warming planet,/ðə ˈwɔː.mɪŋ ˈplæn.ɪt/,"Climate, Environment & Geography",noun_phrase,the gradual rise in the Earth's average temperature,hành tinh đang nóng lên,Coral reefs around the world are dying as a result of the warming planet.,,P2,the warming planet,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-003,weather patterns,/ˈweð.ə ˈpæt.ənz/,"Climate, Environment & Geography",noun_phrase,the typical ways in which weather behaves over a period of time in a particular place,các kiểu thời tiết,Farmers have noticed that the region's weather patterns are no longer predictable.,,P2,weather patterns,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-004,monsoon seasons,/mɒnˈsuːn ˈsiː.zənz/,"Climate, Environment & Geography",noun_phrase,the periods of heavy rain that occur each year in southern Asia and nearby countries,mùa gió mùa,Roads in the lowlands often flood during the monsoon seasons.,,P2,monsoon seasons,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-005,monsoon seasons that are wetter and hotter,/mɒnˈsuːn ˈsiː.zənz ðət ə ˈwet.ə ənd ˈhɒt.ə/,"Climate, Environment & Geography",noun_phrase,"rainy periods that bring more rainfall and higher temperatures than usual, creating ideal conditions for mosquito breeding",những mùa mưa nóng hơn và ẩm ướt hơn,Climate scientists warn of monsoon seasons that are wetter and hotter than at any time on record.,,P2,monsoon seasons that are wetter and hotter,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-006,dengue is common in tropical areas,/ˈdeŋ.ɡeɪ ɪz ˈkɒm.ən ɪn ˈtrɒp.ɪ.kəl ˈeə.ri.əz/,"Climate, Environment & Geography",prepositional_pattern,dengue fever occurs frequently in regions with warm and humid climates,sốt xuất huyết phổ biến ở các khu vực nhiệt đới,Doctors remind travelers that dengue is common in tropical areas during the rainy season.,,P2,dengue is common in tropical areas,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-007,tropical area,/ˈtrɒp.ɪ.kəl ˈeə.ri.ə/,"Climate, Environment & Geography",noun_phrase,"the hot, wet region of the world near the equator",vùng nhiệt đới,Many infectious diseases that were once confined to tropical areas are now appearing elsewhere.,,P2,tropical area,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-008,breeding environment,/ˈbriː.dɪŋ ɪnˈvaɪə.rən.mənt/,"Climate, Environment & Geography",noun_phrase,conditions that allow animals or insects to produce young,môi trường sinh sản,"Warm, stagnant pools provide an ideal breeding environment for insects.",,P2,breeding environment,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-009,breeding ground,/ˈbriː.dɪŋ ɡraʊnd/,"Climate, Environment & Geography",noun_phrase,"a place where animals come to produce their young, or a place where something undesirable develops",nơi sinh sản,Abandoned tires can quickly become a breeding ground for disease-carrying insects.,,P2,breeding ground,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-010,standing water,/ˈstæn.dɪŋ ˈwɔː.tə/,"Climate, Environment & Geography",noun_phrase,water that does not move or flow,nước tù đọng,Residents were urged to empty buckets and other containers of standing water.,,P2,standing water,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-011,store copious amounts of standing water,/stɔː ˈkəʊ.pi.əs əˈmaʊnts əv ˈstæn.dɪŋ ˈwɔː.tə/,"Climate, Environment & Geography",prepositional_pattern,"to hold large quantities of water that does not flow away, creating ideal conditions for mosquito breeding",chứa lượng lớn nước tù đọng,Blocked gutters store copious amounts of standing water on rooftops throughout the wet season.,,P2,store copious amounts of standing water,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-012,clogged drainage systems,/klɒɡd ˈdreɪ.nɪdʒ ˈsɪs.təmz/,"Climate, Environment & Geography",noun_phrase,drainage networks blocked with waste so that water cannot flow freely,hệ thống thoát nước bị tắc nghẽn,Clogged drainage systems are a constant problem in the older parts of the city.,,P2,clogged drainage systems,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-013,drainage system,/ˈdreɪ.nɪdʒ ˈsɪs.təm/,"Climate, Environment & Geography",noun_phrase,a network of pipes or channels that carry away unwanted water or waste liquid,hệ thống thoát nước,The city's aging drainage system cannot handle heavy rainfall.,,P2,drainage system,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-014,densely populated,/ˈdens.li ˈpɒp.jə.leɪ.tɪd/,"Climate, Environment & Geography",noun_phrase,having a very large number of people living within a small area,có mật độ dân số cao,Most of the new infections were reported in densely populated parts of the city.,,P2,densely populated,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-015,slum,/slʌm/,"Climate, Environment & Geography",word,an area of a city that is very poor and where the houses are dirty and in bad condition,khu ổ chuột,Families living in the slum often share a single water tap with their neighbors.,,P2,slum,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-016,"living in slums, where sanitation is poor",/ˈlɪv.ɪŋ ɪn slʌmz weə ˌsæn.ɪˈteɪ.ʃən ɪz pɔː/,"Climate, Environment & Geography",prepositional_pattern,residing in overcrowded urban areas that lack proper waste-disposal and clean-water facilities,"sống trong các khu ổ chuột, nơi điều kiện vệ sinh kém","Millions of people are living in slums, where sanitation is poor and disease spreads easily.",,P2,"living in slums, where sanitation is poor",health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-017,sanitation,/ˌsæn.ɪˈteɪ.ʃən/,"Climate, Environment & Geography",word,the systems for taking dirty water and other waste products away from buildings in order to protect people's health,vệ sinh môi trường,Poor sanitation in low-income neighborhoods has made the epidemic harder to control.,,P2,sanitation,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-018,beleaguered infrastructure,/bɪˈliː.ɡəd ˈɪn.frə.strʌk.tʃə/,"Climate, Environment & Geography",noun_phrase,the basic systems and services of a country or city that are under serious pressure or difficulty,cơ sở hạ tầng đang gặp khó khăn,Years of underinvestment have left the country with a beleaguered infrastructure.,,P2,beleaguered infrastructure,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-019,a city with a beleaguered infrastructure,/ə ˈsɪt.i wɪð ə bɪˈliː.ɡəd ˈɪn.frə.strʌk.tʃə/,"Climate, Environment & Geography",prepositional_pattern,"an urban area whose basic systems such as roads, water supply and sewage are struggling to function",một thành phố có cơ sở hạ tầng đang gặp khó khăn,Dhaka is a city with a beleaguered infrastructure that cannot keep up with its growing population.,,P2,a city with a beleaguered infrastructure,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
clim-020,is home to,/ɪz həʊm tu/,"Climate, Environment & Geography",prepositional_pattern,"to be the place where a particular group of people, animals or things can be found","là nơi sinh sống của, là nơi có",Bangladesh is home to more than 170 million people.,,P2,is home to,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;clim
scale-001,severe,/sɪˈvɪə/,Scale & Severity,word,extremely bad or serious,nghiêm trọng,Patients with severe symptoms were transferred to the intensive care unit.,,P2,severe,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-002,the most severe in history,/ðə məʊst sɪˈvɪər ɪn ˈhɪs.tər.i/,Scale & Severity,prepositional_pattern,the worst that has ever been recorded,nghiêm trọng nhất trong lịch sử,Scientists described the heatwave as the most severe in history.,,P2,the most severe in history,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-003,fast-spreading,/fɑːst ˈspred.ɪŋ/,Scale & Severity,word,moving or growing through an area very quickly,lây lan nhanh,Officials warned residents about a fast-spreading rumor on social media.,,P2,fast-spreading,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-004,crisis,/ˈkraɪ.sɪs/,Scale & Severity,word,"a time of great danger, difficulty or doubt when problems must be solved or important decisions made",khủng hoảng,The financial crisis forced the government to cut public spending sharply.,,P2,crisis,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-005,worsening,/ˈwɜː.sən.ɪŋ/,Scale & Severity,word,becoming worse,đang trở nên tồi tệ hơn,Doctors are alarmed by the worsening shortage of essential medicines.,,P2,worsening,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-006,severity,/sɪˈver.ə.ti/,Scale & Severity,word,"the fact or condition of being very bad, serious or unpleasant",mức độ nghiêm trọng,Reports from the field underestimated the severity of the damage.,,P2,severity,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-007,add to the severity,/æd tə ðə sɪˈver.ə.ti/,Scale & Severity,prepositional_pattern,to make a serious situation even worse,làm tăng thêm mức độ nghiêm trọng,Power cuts added to the severity of the heatwave for elderly residents.,,P2,add to the severity,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-008,threat,/θret/,Scale & Severity,word,a person or thing likely to cause damage or danger,mối đe dọa,Antibiotic resistance has become a major threat to global health.,,P2,threat,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-009,rise,/raɪz/,Scale & Severity,word,"an increase in the amount, number or level of something",sự gia tăng,Officials are investigating the recent rise in respiratory illnesses.,,P2,rise,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-010,decline,/dɪˈklaɪn/,Scale & Severity,word,"to become smaller, fewer or less",giảm xuống,Case numbers began to decline after the new restrictions took effect.,,P2,decline,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
scale-011,spread,/spred/,Scale & Severity,word,to affect or be known by more and more people or over a larger area,lan rộng,Misinformation about the disease has spread rapidly online.,,P2,spread,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;scale
people-001,rural residents,/ˈrʊə.rəl ˈrez.ɪ.dənts/,"People, Refugees & Vulnerable Groups",noun_phrase,people who live in the countryside rather than in towns or cities,cư dân nông thôn,Rural residents often have to travel long distances to reach the nearest clinic.,,P2,rural residents,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-002,rural area,/ˈrʊə.rəl ˈeə.ri.ə/,"People, Refugees & Vulnerable Groups",noun_phrase,"an area in the countryside, away from large towns or cities",khu vực nông thôn,Internet access remains limited in many rural areas.,,P2,rural area,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-003,refugee,/ˌref.juˈdʒiː/,"People, Refugees & Vulnerable Groups",word,"a person who has been forced to leave their country in order to escape war, persecution or natural disaster",người tị nạn,Aid agencies are calling for more support for refugees crossing the border.,,P2,refugee,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-004,refugee camp,/ˌref.juˈdʒiː kæmp/,"People, Refugees & Vulnerable Groups",noun_phrase,a place where people who have fled their country are temporarily housed,trại tị nạn,Conditions in the refugee camp have deteriorated since the start of the rainy season.,,P2,refugee camp,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-005,crowded camp,/ˈkraʊ.dɪd kæmp/,"People, Refugees & Vulnerable Groups",noun_phrase,a temporary settlement holding far more people than it was designed for,khu trại đông đúc,Disease spreads quickly in crowded camps where families share small shelters.,,P2,crowded camp,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
people-006,patient,/ˈpeɪ.ʃənt/,"People, Refugees & Vulnerable Groups",word,"a person who is receiving medical treatment, especially in a hospital",bệnh nhân,Each patient is screened for symptoms before being admitted.,,P2,patient,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,B2,basic;cloze;production,teacher,approved,yes,dengue;public-health;people
